ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
207545_s_at	9.33e-06	8.97e-07	6.0921634	5.3252	1.06	LOC101930388///LOC101928143///NUMB	uncharacterized LOC101930388///uncharacterized LOC101928143///NUMB, endocytic adaptor protein
205392_s_at	9.35e-06	9.00e-07	6.0909763	5.32182	2.38	CCL15-CCL14///CCL14	CCL15-CCL14 readthrough (NMD candidate)///C-C motif chemokine ligand 14
217168_s_at	9.35e-06	9.01e-07	6.0906394	5.32086	6.72e-01	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1
202068_s_at	9.35e-06	9.01e-07	-6.0905077	5.32048	-1.81	LDLR	low density lipoprotein receptor
204210_s_at	9.35e-06	9.01e-07	-6.0904974	5.32045	-9.91e-01	PCYT1A	phosphate cytidylyltransferase 1, choline, alpha
203024_s_at	9.42e-06	9.08e-07	6.0877219	5.31255	8.49e-01	C5orf15	chromosome 5 open reading frame 15
212299_at	9.42e-06	9.09e-07	6.0872196	5.31112	1.25	NEK9	NIMA related kinase 9
202512_s_at	9.42e-06	9.10e-07	6.0871648	5.31096	1.56	ATG5	autophagy related 5
201603_at	9.43e-06	9.11e-07	6.0864659	5.30897	1.04	PPP1R12A	protein phosphatase 1 regulatory subunit 12A
219496_at	9.44e-06	9.12e-07	-6.0861347	5.30803	-1.60	SOWAHC	sosondowah ankyrin repeat domain family member C
220765_s_at	9.48e-06	9.19e-07	6.08374	5.30121	1.34	LIMS2	LIM zinc finger domain containing 2
207302_at	9.48e-06	9.19e-07	6.0837017	5.3011	1.90	SGCG	sarcoglycan gamma
220013_at	9.48e-06	9.19e-07	-6.0835507	5.30067	-1.83	EPHX3	epoxide hydrolase 3
202992_at	9.48e-06	9.19e-07	6.0834547	5.30039	2.35	C7	complement component 7
214239_x_at	9.48e-06	9.20e-07	6.0833571	5.30012	1.03	PCGF2	polycomb group ring finger 2
221213_s_at	9.61e-06	9.32e-07	6.0785378	5.28639	1.52	LOC145783///ZNF280D	uncharacterized LOC145783///zinc finger protein 280D
